d,s(f),digits_of_t,digits_per_sqrt_d
2,9,1,0.7071
10,11,2,0.6325
13,11,3,0.8321
29,12,4,0.7428
46,13,5,0.7372
61,13,10,1.2804
109,14,15,1.4367
181,15,19,1.4123
277,16,21,1.2618
409,16,23,1.1373
421,16,34,1.6571
541,17,37,1.5908
661,17,38,1.478
1021,17,48,1.5022
1381,18,65,1.7491
1549,18,71,1.804
1621,18,76,1.8877
2389,19,87,1.78
3061,19,105,1.8978
3469,19,113,1.9186
4621,20,124,1.8241
4789,20,129,1.8641
4909,20,134,1.9125
5581,20,145,1.9409
6301,20,154,1.9401
6829,20,162,1.9604
8269,21,170,1.8695
8941,21,202,2.1363
9949,21,212,2.1254
12541,21,236,2.1074
13381,21,256,2.2131
16069,21,261,2.059
17341,22,278,2.1111
